Name,ecotype_number,organism,country,city/state,county,isolation_source,host,collection_date, ,species,group
HQ671723,83,West Nile virus,USA,NY,,brain,corvus brachyrhynchos,2003,"    Direct Submission
  ",bird,American Crow
HQ671724,83,West Nile virus,USA,NY,,brain,corvus brachyrhynchos,2005,"    Direct Submission
  ",bird,American Crow
HQ671725,18,West Nile virus,USA,NY,,brain,corvus brachyrhynchos,2005,"    Direct Submission
  ",bird,American Crow
HQ671726,23,West Nile virus,USA,NY,,brain,corvus brachyrhynchos,2005,"    Direct Submission
  ",bird,American Crow
HQ671727,74,West Nile virus,USA,NY,,brain,corvus brachyrhynchos,2006,"    Direct Submission
  ",bird,American Crow
HQ671728,21,West Nile virus,USA,NY,,brain,corvus brachyrhynchos,2006,"    Direct Submission
  ",bird,American Crow
HQ671729,84,West Nile virus,USA,NY,,brain,corvus brachyrhynchos,2006,"    Direct Submission
  ",bird,American Crow
HQ671730,25,West Nile virus,USA,NY,,brain,corvus brachyrhynchos,2007,"    Direct Submission
  ",bird,American Crow
HQ671731,99,West Nile virus,,,,midgut,culex pipiens quinquefasciatus,,"    Direct Submission
  ",mosquito,Culex
HQ671732,99,West Nile virus,,,,brain,mus musculus,,"    Direct Submission
  ",other_species,
HQ671742,88,,,IL,,,blue jay,2002,,bird,Blue Jay
HQ705659,56,,,CT,,,,2003,,,
HQ705660,20,,,NY,,,american crow,2003,,bird,American Crow
HQ705663,99,West Nile virus,,,,spleen,mus musculus,,"    Direct Submission
  ",other_species,
HQ705669,18,West Nile virus,USA,IL,,,cyanocitta cristata,2002,"    Direct Submission
  ",bird,Blue Jay
HQ705670,99,West Nile virus,,,,legs,culex pipiens quinquefasciatus,,"    Direct Submission
  ",mosquito,Culex
HQ705672,99,West Nile virus,,,,legs,culex pipiens quinquefasciatus,,"    Direct Submission
  ",mosquito,Culex
HQ705673,99,West Nile virus,,,,midgut,culex pipiens quinquefasciatus,,"    Direct Submission
  ",mosquito,Culex
HQ705674,99,West Nile virus,,,,midgut,culex pipiens quinquefasciatus,,"    Direct Submission
  ",mosquito,Culex
HQ705675,99,West Nile virus,,,,legs,culex pipiens quinquefasciatus,,"    Direct Submission
  ",mosquito,Culex
HQ705676,99,West Nile virus,,,,serum,mus musculus,,"    Direct Submission
  ",other_species,
HQ705677,18,West Nile virus,,,,kidney,gallus gallus,,"    Direct Submission
  ",bird,Other Birds
HQ705678,86,West Nile virus,,,,kidney,gallus gallus,,"    Direct Submission
  ",bird,Other Birds
HQ891012,99,West Nile virus,,,,serum,mus musculus,,"    Direct Submission
  ",other_species,
JF357958,99,West Nile virus,,,,brain,mus musculus,,"    Direct Submission
  ",other_species,
JF357959,99,West Nile virus,,,,brain,mus musculus,,"    Direct Submission
  ",other_species,
JF357960,18,West Nile virus,,,,skin,gallus gallus,,"    Direct Submission
  ",bird,Other Birds
JF415914,13,West Nile virus,USA,TX,,,culex quinquefasciatus,2005,"    Evolution of new genotype of West Nile virus in North America
  ",mosquito,Culex
JF415915,20,West Nile virus,USA,TX,,,common grackle,2006,"    Evolution of new genotype of West Nile virus in North America
  ",bird,Passeriformes
JF415916,77,West Nile virus,USA,TX,,,northern mockingbird,2006,"    Evolution of new genotype of West Nile virus in North America
  ",bird,Passeriformes
JF415917,22,West Nile virus,USA,TX,,,blue jay,2007,"    Evolution of new genotype of West Nile virus in North America
  ",bird,Blue Jay
JF415918,88,West Nile virus,USA,TX,,,blue jay,2007,"    Evolution of new genotype of West Nile virus in North America
  ",bird,Blue Jay
JF415919,1,West Nile virus,USA,TX,,,aedes albopictus,2007,"    Evolution of new genotype of West Nile virus in North America
  ",mosquito,Aedes and Ochlerotatus
JF415920,57,West Nile virus,USA,TX,,,blue jay,2007,"    Evolution of new genotype of West Nile virus in North America
  ",bird,Blue Jay
JF415921,12,West Nile virus,USA,TX,,,blue jay,2008,"    Evolution of new genotype of West Nile virus in North America
  ",bird,Blue Jay
JF415922,78,West Nile virus,USA,TX,,,culex quinquefasciatus,2009,"    Evolution of new genotype of West Nile virus in North America
  ",mosquito,Culex
JF415923,78,West Nile virus,USA,TX,,,culex quinquefasciatus,2009,"    Evolution of new genotype of West Nile virus in North America
  ",mosquito,Culex
JF415924,25,West Nile virus,USA,TX,,,blue jay,2009,"    Evolution of new genotype of West Nile virus in North America
  ",bird,Blue Jay
JF415925,78,West Nile virus,USA,TX,,,aedes albopictus,2009,"    Evolution of new genotype of West Nile virus in North America
  ",mosquito,Aedes and Ochlerotatus
JF415926,78,West Nile virus,USA,TX,,,culex quinquefasciatus,2009,"    Evolution of new genotype of West Nile virus in North America
  ",mosquito,Culex
JF415927,78,West Nile virus,USA,TX,,,aedes albopictus,2009,"    Evolution of new genotype of West Nile virus in North America
  ",mosquito,Aedes and Ochlerotatus
JF415928,78,West Nile virus,USA,TX,,,culex quinquefasciatus,2009,"    Evolution of new genotype of West Nile virus in North America
  ",mosquito,Culex
JF415929,18,West Nile virus,USA,TX,,,blue jay,2005,"    Evolution of new genotype of West Nile virus in North America
  ",bird,Blue Jay
JF415930,20,West Nile virus,USA,TX,,,culex quinquefasciatus,2006,"    Evolution of new genotype of West Nile virus in North America
  ",mosquito,Culex
JF488086,52,,,CT,,,,2004,,,
JF488087,52,,,CT,,,,2004,,,
JF488088,83,,,CT,,,,2004,,,
JF488089,52,,,CT,,,,2004,,,
JF488090,52,,,CT,,,,2004,,,
JF488091,82,,,CT,,,,2004,,,
JF488092,52,,,CT,,,,2004,,,
JF488093,85,,,CT,,,,2005,,,
JF488094,83,,,NY,,,american crow,2004,,bird,American Crow
JF488095,50,,,NY,,,american crow,2009,,bird,American Crow
JF488096,84,,,NY,,,american crow,2009,,bird,American Crow
JF488097,84,,,NY,,,american crow,2007,,bird,American Crow
JF703161,29,West Nile virus,USA,,,,culex tarsalis,38170,"    North American West Nile virus genotype isolates demonstrate
            differential replicative capacities in response to temperature
  ",mosquito,Culex
JF703162,29,West Nile virus,USA,,,,culex tarsalis,37803,"    North American West Nile virus genotype isolates demonstrate
            differential replicative capacities in response to temperature
  ",mosquito,Culex
JF703163,3,West Nile virus,USA,,,,culex tarsalis,38664,"    North American West Nile virus genotype isolates demonstrate
            differential replicative capacities in response to temperature
  ",mosquito,Culex
JF719065,105,West Nile virus,Italy,,,,jay,39722,"    Phylogenetic relationships of Western Mediterranean West Nile virus
            strains (1996-2010) using full-length genome sequences: single or
            multiple introductions?
  ",bird,Passeriformes
JF719066,105,West Nile virus,Italy,,,,magpie,39692,"    Phylogenetic relationships of Western Mediterranean West Nile virus
            strains (1996-2010) using full-length genome sequences: single or
            multiple introductions?
  ",bird,Passeriformes
JF719067,105,West Nile virus,Italy,,,,gull,40118,"    Phylogenetic relationships of Western Mediterranean West Nile virus
            strains (1996-2010) using full-length genome sequences: single or
            multiple introductions?
  ",bird,Charadriiformes
JF719068,105,West Nile virus,Italy,,,,jay,40087,"    Phylogenetic relationships of Western Mediterranean West Nile virus
            strains (1996-2010) using full-length genome sequences: single or
            multiple introductions?
  ",bird,Passeriformes
JF719069,105,West Nile virus,Spain,,,brain,horse,40391,"    Phylogenetic relationships of Western Mediterranean West Nile virus
            strains (1996-2010) using full-length genome sequences: single or
            multiple introductions?
  ",other_species,
JF730040,99,West Nile virus,,,,serum,mus musculus,,"    Direct Submission
  ",other_species,
JF730041,99,West Nile virus,,,,spleen,mus musculus,,"    Direct Submission
  ",other_species,
JF730042,20,West Nile virus,USA,NY,,brain,corvus brachyrhynchos,2007,"    Direct Submission
  ",bird,American Crow
JF730043,18,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2002,"    Direct Submission
  ",mosquito,Culex
JF784158,99,West Nile virus,,,,serum,mus musculus,,"    Direct Submission
  ",other_species,
JF899528,86,,,NY,,,american crow,2004,,bird,American Crow
JF899529,85,,,NY,,,american crow,2005,,bird,American Crow
JF899530,99,West Nile virus,,,,spleen,mus musculus,,"    Direct Submission
  ",other_species,
JF899531,99,West Nile virus,,,,serum,mus musculus,,"    Direct Submission
  ",other_species,
JF899533,99,West Nile virus,,,,brain,mus musculus,,"    Direct Submission
  ",other_species,
JF899534,99,West Nile virus,,,,brain,mus musculus,,"    Direct Submission
  ",other_species,
JF899535,99,West Nile virus,,,,brain,mus musculus,,"    Direct Submission
  ",other_species,
JF899536,99,West Nile virus,,,,brain,mus musculus,,"    Direct Submission
  ",other_species,
JF899537,99,West Nile virus,,,,brain,mus musculus,,"    Direct Submission
  ",other_species,
JF920306,82,,,CT,,,,2003,,,
JF920307,97,,,CT,,,,2001,,,
JF920728,20,,,CT,,,,2003,,,
JF920729,20,,,CT,,,,2006,,,
JF920730,84,,,CT,,,,2006,,,
JF920731,73,,,CT,,,,2006,,,
JF920732,20,,,CT,,,,2006,,,
JF920733,23,,,CT,,,,2006,,,
JF920734,86,,,CT,,,,2006,,,
JF920735,23,,,CT,,,,2006,,,
JF920736,20,,,CT,,,,2006,,,
JF920737,20,,,CT,,,,2006,,,
JF920738,51,,,CT,,,,2007,,,
JF920739,20,,,CT,,,,2007,,,
JF920740,82,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2007,"    Direct Submission
  ",mosquito,Culex
JF920741,86,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2007,"    Direct Submission
  ",mosquito,Culex
JF920742,82,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2007,"    Direct Submission
  ",mosquito,Culex
JF920743,83,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2007,"    Direct Submission
  ",mosquito,Culex
JF920744,50,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2007,"    Direct Submission
  ",mosquito,Culex
JF920745,52,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2007,"    Direct Submission
  ",mosquito,Culex
JF920746,25,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2007,"    Direct Submission
  ",mosquito,Culex
JF920747,68,West Nile virus,USA,CT,,cell supernatant,culex salinarius,2008,"    Direct Submission
  ",mosquito,Culex
JF920748,82,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2008,"    Direct Submission
  ",mosquito,Culex
JF920749,20,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2008,"    Direct Submission
  ",mosquito,Culex
JF920750,20,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2008,"    Direct Submission
  ",mosquito,Culex
JF920751,12,West Nile virus,USA,CT,,cell supernatant,culex restuans,2008,"    Direct Submission
  ",mosquito,Culex
JF920752,83,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2008,"    Direct Submission
  ",mosquito,Culex
JF920753,80,West Nile virus,USA,CT,,cell supernatant,culex restuans,2008,"    Direct Submission
  ",mosquito,Culex
JF920754,50,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2008,"    Direct Submission
  ",mosquito,Culex
JF920755,82,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2008,"    Direct Submission
  ",mosquito,Culex
JF920756,25,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2008,"    Direct Submission
  ",mosquito,Culex
JF920757,83,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2008,"    Direct Submission
  ",mosquito,Culex
JF920758,84,West Nile virus,USA,CT,,cell supernatant,culiseta melanura,2009,"    Direct Submission
  ",mosquito,Culiseta
JF920759,50,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2009,"    Direct Submission
  ",mosquito,Culex
JF920760,52,West Nile virus,USA,CT,,cell supernatant,culex pipiens,2009,"    Direct Submission
  ",mosquito,Culex
JF957161,2,West Nile virus,USA,ID,,,,2006,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",,
JF957162,2,West Nile virus,USA,ID,,,,2006,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",,
JF957163,2,West Nile virus,USA,ID,,,,2006,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",,
JF957164,1,West Nile virus,USA,ID,,,,2006,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",,
JF957165,2,West Nile virus,USA,ID,,,,2006,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",,
JF957166,1,West Nile virus,USA,UT,,,,2006,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",,
JF957167,2,West Nile virus,USA,ND,,,,2006,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",,
JF957168,2,West Nile virus,USA,ID,,,,2007,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",,
JF957169,25,West Nile virus,USA,CO,,,,2007,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",,
JF957170,1,West Nile virus,USA,CO,,,,2007,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",,
JF957171,2,West Nile virus,USA,ID,,,,2007,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",,
JF957172,2,West Nile virus,USA,ID,,,,2007,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",,
JF957173,1,West Nile virus,USA,AZ,,,,2008,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",,
JF957174,4,West Nile virus,USA,NV,,,,2008,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",,
JF957175,12,West Nile virus,USA,NV,,,,2009,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",,
JF957176,4,West Nile virus,USA,AZ,,,,2009,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",,
JF957177,6,West Nile virus,USA,NV,,,,2009,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",,
JF957178,3,West Nile virus,USA,NV,,,,2009,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",,
JF957179,75,West Nile virus,USA,LA,,,,2009,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",,
JF957180,78,West Nile virus,USA,NV,,,,2009,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",,
JF957181,25,West Nile virus,USA,SD,,,,2009,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",,
JF957182,25,West Nile virus,USA,TX,,,,2009,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",,
JF957183,80,West Nile virus,USA,TX,,,,2009,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",,
JF957184,83,West Nile virus,USA,CO,,,,2009,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",,
JF957185,83,West Nile virus,USA,AZ,,,,2010,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",,
JF957186,83,West Nile virus,USA,AZ,,,,2010,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",,
JF972636,20,West Nile virus,USA,CT,,cell supernatant,culiseta melanura,2008,"    Direct Submission
  ",mosquito,Culiseta
JN183885,24,West Nile virus,USA,NY,,brain,cyanocitta cristata,2008,"    Direct Submission
  ",bird,Blue Jay
JN183886,9,West Nile virus,USA,NY,,brain,cyanocitta cristata,2008,"    Direct Submission
  ",bird,Blue Jay
JN183887,82,West Nile virus,USA,NY,,brain,corvus brachyrhynchos,2002,"    Direct Submission
  ",bird,American Crow
JN183888,82,West Nile virus,USA,NY,,brain,corvus brachyrhynchos,2006,"    Direct Submission
  ",bird,American Crow
JN183889,83,West Nile virus,USA,CT,,cell supernatant,culex restuans,2003,"    Direct Submission
  ",mosquito,Culex
JN183890,82,,,CT,,,,2003,,,
JN183891,18,,,IL,,,blue jay,2002,,bird,Blue Jay
JN183892,18,,,IL,,,,2005,,,
JN183893,99,West Nile virus,,,,kidney,gallus gallus,,"    Direct Submission
  ",bird,Other Birds
JN183894,99,West Nile virus,,,,kidney,gallus gallus,,"    Direct Submission
  ",bird,Other Birds
JN183895,99,West Nile virus,,,,midgut,culex sp.,,"    Direct Submission
  ",mosquito,Culex
JN183896,99,West Nile virus,,,,midgut,culex sp.,,"    Direct Submission
  ",mosquito,Culex
JN183897,99,West Nile virus,,,,midgut,culex sp.,,"    Direct Submission
  ",mosquito,Culex
JN367277,21,West Nile virus,USA,NY,,brain,corvus brachyrhynchos,2004,"    Direct Submission
  ",bird,American Crow
JN819305,86,West Nile virus,,,,cell supernatant,,,"    Direct Submission
  ",,
JN819306,86,West Nile virus,,,,cell supernatant,,,"    Direct Submission
  ",,
JN819307,56,West Nile virus,,,,cell supernatant,,,"    Direct Submission
  ",,
JN819309,82,West Nile virus,,,,cell supernatant,,,"    Direct Submission
  ",,
JN819310,82,West Nile virus,,,,cell supernatant,,,"    Direct Submission
  ",,
JN819311,20,West Nile virus,,,,cell supernatant,mosquito,,"    Direct Submission
  ",mosquito,
JN819312,82,West Nile virus,,,,cell supernatant,mosquito,,"    Direct Submission
  ",mosquito,
JN819313,82,West Nile virus,,,,cell supernatant,mosquito,,"    Direct Submission
  ",mosquito,
JN819315,98,West Nile virus,,,,cell supernatant,bird,,"    Direct Submission
  ",bird,Other Birds
JN819316,98,West Nile virus,,,,cell supernatant,,,"    Direct Submission
  ",,
JN819317,99,West Nile virus,,,,cell supernatant,,,"    Direct Submission
  ",,
JN819318,82,West Nile virus,,,,cell supernatant,bird,,"    Direct Submission
  ",bird,Other Birds
JN819319,25,West Nile virus,,,,cell supernatant,bird,,"    Direct Submission
  ",bird,Other Birds
JN819320,54,West Nile virus,,,,cell supernatant,bird,,"    Direct Submission
  ",bird,Other Birds
JN819321,90,West Nile virus,,,,cell supernatant,,,"    Direct Submission
  ",,
JN819323,18,West Nile virus,,,,cell supernatant,,,"    Direct Submission
  ",,
JN819324,82,West Nile virus,,,,cell supernatant,,,"    Direct Submission
  ",,
JN858069,105,West Nile virus,Italy,,,urine from infected transplant                     recipient,homo sapiens; age: 48; sex: male,40787,"    Direct Submission
  ",human,
JQ700437,83,West Nile virus,USA,,,,culex pipiens,2003,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",mosquito,Culex
JQ700438,12,West Nile virus,USA,,,,homo sapiens,2011,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",human,
JQ700439,60,West Nile virus,USA,,,,homo sapiens,2011,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",human,
JQ700440,83,West Nile virus,USA,,,,homo sapiens,2011,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",human,
JQ700441,34,West Nile virus,USA,,,,homo sapiens,2011,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",human,
JQ700442,73,West Nile virus,USA,,,,homo sapiens,2011,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  ",human,
JQ928174,105,West Nile virus,Italy,"Veneto region, Treviso",,plasma from blood donor,homo sapiens,40787,"    New endemic West Nile virus lineage 1a in northern Italy, July 2012
  ",human,
JQ928175,105,West Nile virus,Italy,"Veneto region, Treviso",,urine from infected transplant                     recipient,homo sapiens,40787,"    New endemic West Nile virus lineage 1a in northern Italy, July 2012
  ",human,
JX041628,107,West Nile virus,Azerbaijan,,,,ornithodoros capensis,1970,"    Direct Submission
  ",other_species,
JX041629,107,West Nile virus,Azerbaijan,,,,bird,1967,"    Direct Submission
  ",bird,Other Birds
JX041630,107,West Nile virus,Azerbaijan,,,,bird,1967,"    Direct Submission
  ",bird,Other Birds
JX041634,103,West Nile virus,Russia,Astrakhan region,,,homo sapiens,1999,"    Direct Submission
  ",human,
JX070655,107,West Nile virus,Tajikistan,,,,,,"    Direct Submission
  ",,
JX442279,103,West Nile virus,China,,,BHK 21 cells one passage,culex pipiens pipiens,2011,"    Human infection with West Nile Virus, Xinjiang, China, 2011
  ",mosquito,Culex
JX556213,105,West Nile virus,Italy,"Veneto region, Venice province",,cultured viral isolate from blood                     donor,homo sapiens,41124,"    Clinical and virological findings in the ongoing outbreak of West
            Nile virus Livenza strain in northern Italy, July to September 2012
  ",human,
KC407666,97,West Nile virus,,,,,,,"    Direct Submission
  ",,
KC407667,97,West Nile virus,Spain,,,,mouse,2007,"    Strain specific autophagic response in cells infected with the West
            Nile and Usustu flaviviruses
  ",other_species,
KC601756,103,West Nile virus,India,Kerala,,,homo sapiens,40575,"    Complete genome sequence of west nile virus isolated from alappuzha
            district, kerala, India
  ",human,
KC711057,84,West Nile virus,USA,TX,Denton,,culex quinquefasciatus,41059,"    Continued evolution of West Nile virus, Houston, Texas, USA,
            2002-2012
  ",mosquito,Culex
KC711059,59,West Nile virus,USA,TX,Collin county,,culex restuans,41191,"    Continued evolution of West Nile virus, Houston, Texas, USA,
            2002-2012
  ",mosquito,Culex
KC736486,59,,,TX,,,,2012,,,
KC736487,50,,,TX,,,,2012,,,
KC736488,50,,,TX,,,,2012,,,
KC736489,50,,,TX,,,,2012,,,
KC736490,59,,,TX,,,,2012,,,
KC736491,50,,,TX,,,,2012,,,
KC736492,59,,,TX,,,,2012,,,
KC736493,59,,,TX,,,,2012,,,
KC736494,59,,,TX,,,,2012,,,
KC736495,59,,,TX,,,,2012,,,
KC736496,59,,,TX,,,,2012,,,
KC736497,59,,,TX,,,,2012,,,
KC736498,59,,,TX,,,,2012,,,
KC736499,50,,,TX,,,,2012,,,
KC736500,59,,,TX,,,,2012,,,
KC736501,50,,,TX,,,,2012,,,
KC736502,50,,,TX,,,,2012,,,
KC954092,105,West Nile virus,Italy,"Veneto region, Portogruaro",,cultured from urine,homo sapiens,41153,"    Large human outbreak of West Nile virus infection in north-eastern
            Italy in 2012
  ",human,
KF234080,105,West Nile virus,Italy,Emilia-Romagna region,,patient with neuroinvasive WNV,homo sapiens,2009,"    Characterization of the mouse neuroinvasiveness of selected
            European strains of west nile virus
  ",human,
KF367469,60,West Nile virus,British Virgin Islands,Necker Island,,heart,flamingo,41363,"    West Nile Virus in the British Virgin Islands
  ",bird,Other Birds
KF647253,105,West Nile virus,Italy,"Veneto region, Rovigo",,plasma,homo sapiens,41487,"    Whole genome sequencing and phylogenetic analysis of West Nile
            virus lineage 1 and lineage 2 from human cases of infection, Italy,
            August 2013
  ",human,
KF704147,3,,,CA,,,,2010,,,
KF704153,12,,,AZ,,,,2010,,,
KF704158,83,,,AZ,,,,2010,,,
KJ145799,82,,,,,,,2005,,,
KJ145827,83,,,,,,american crow,2010,,bird,American Crow
KJ145828,84,,,,,,american crow,2010,,bird,American Crow
KJ145829,14,,,,,,american crow,2010,,bird,American Crow
KJ145832,12,,,,,,lorii,2007,,bird,Other Birds
KJ501096,34,West Nile virus,USA,,,mosquito pool,culex tarsalis,2011,"    Direct Submission
  ",mosquito,Culex
KJ501098,34,West Nile virus,USA,,,mosquito pool,culex pipiens,2011,"    Direct Submission
  ",mosquito,Culex
KJ501099,4,West Nile virus,USA,,,mosquito pool,culex tarsalis,2009,"    Direct Submission
  ",mosquito,Culex
KJ501100,34,West Nile virus,USA,,,mosquito pool,culex tarsalis,2009,"    Direct Submission
  ",mosquito,Culex
KJ501101,4,West Nile virus,USA,,,mosquito pool,culex pipiens,2009,"    Direct Submission
  ",mosquito,Culex
KJ501102,4,West Nile virus,USA,,,mosquito pool,culex tarsalis,2009,"    Direct Submission
  ",mosquito,Culex
KJ501103,30,West Nile virus,USA,,,mosquito pool,culex tarsalis,2003,"    Direct Submission
  ",mosquito,Culex
KJ501104,30,West Nile virus,USA,,,mosquito pool,culex tarsalis,2003,"    Direct Submission
  ",mosquito,Culex
KJ501105,29,West Nile virus,USA,,,mosquito pool,culex tarsalis,2003,"    Direct Submission
  ",mosquito,Culex
KJ501106,3,West Nile virus,USA,,,mosquito pool,culex tarsalis,2008,"    Direct Submission
  ",mosquito,Culex
KJ501107,30,West Nile virus,USA,,,mosquito pool,culex tarsalis,2003,"    Direct Submission
  ",mosquito,Culex
KJ501108,1,West Nile virus,USA,,,mosquito pool,culex tarsalis,2007,"    Direct Submission
  ",mosquito,Culex
KJ501109,3,West Nile virus,USA,,,mosquito pool,culex tarsalis,2008,"    Direct Submission
  ",mosquito,Culex
KJ501110,2,West Nile virus,USA,,,mosquito pool,culex tarsalis,2009,"    Direct Submission
  ",mosquito,Culex
KJ501111,2,West Nile virus,USA,,,mosquito pool,culex tarsalis,2009,"    Direct Submission
  ",mosquito,Culex
KJ501112,1,West Nile virus,USA,,,mosquito pool,culex tarsalis,2007,"    Direct Submission
  ",mosquito,Culex
KJ501113,1,West Nile virus,USA,,,mosquito pool,culex tarsalis,2008,"    Direct Submission
  ",mosquito,Culex
KJ501114,1,West Nile virus,USA,,,mosquito pool,culex tarsalis,2007,"    Direct Submission
  ",mosquito,Culex
KJ501115,27,West Nile virus,USA,,,mosquito pool,culex tarsalis,2005,"    Direct Submission
  ",mosquito,Culex
KJ501116,27,West Nile virus,USA,,,mosquito pool,culex quinquefasciatus,2008,"    Direct Submission
  ",mosquito,Culex
KJ501119,27,West Nile virus,USA,,,mosquito pool,culex tarsalis,2005,"    Direct Submission
  ",mosquito,Culex
KJ501123,29,West Nile virus,USA,,,mosquito pool,culex tarsalis,2004,"    Direct Submission
  ",mosquito,Culex
KJ501125,29,West Nile virus,USA,,,mosquito pool,culex tarsalis,2004,"    Direct Submission
  ",mosquito,Culex
KJ501126,2,West Nile virus,USA,,,mosquito pool,mosquito,2007,"    Direct Submission
  ",mosquito,
KJ501127,27,West Nile virus,USA,,,mosquito pool,mosquito,2008,"    Direct Submission
  ",mosquito,
KJ501128,4,West Nile virus,USA,,,mosquito pool,culex quinquefasciatus,2004,"    Direct Submission
  ",mosquito,Culex
KJ501129,27,West Nile virus,USA,,,mosquito pool,culex quinquefasciatus,2004,"    Direct Submission
  ",mosquito,Culex
KJ501130,28,West Nile virus,USA,,,mosquito pool,culex quinquefasciatus,2008,"    Direct Submission
  ",mosquito,Culex
KJ501131,27,West Nile virus,USA,,,mosquito pool,culex quinquefasciatus,2004,"    Direct Submission
  ",mosquito,Culex
KJ501132,27,West Nile virus,USA,,,mosquito pool,culex quinquefasciatus,2007,"    Direct Submission
  ",mosquito,Culex
KJ501133,28,West Nile virus,USA,,,mosquito pool,culex quinquefasciatus,2008,"    Direct Submission
  ",mosquito,Culex
